dr_number,date_reported,date_occurred,time_occurred,area_id,area_name,reporting_district,crime_code,crime_code_description,mo_codes,victim_age,victim_sex,victim_descent,lat,lon,status_description,premise_description
160327945,2016-12-24,2016-12-21,1700,3,Southwest,358,310,BURGLARY,0329 1607,44,M,W,34.0215,-118.2868,Invest Cont,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
141416235,2014-06-19,2014-06-18,1900,14,Pacific,1495,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1402,27,M,B,33.9489,-118.3929,Invest Cont,TRANSPORTATION FACILITY (AIRPORT)
120705714,2012-02-08,2012-02-08,1940,7,Wilshire,734,220,ATTEMPTED ROBBERY,0337 1017 0432,53,M,W,34.0683,-118.3614,Invest Cont,STREET
131811347,2013-06-05,2013-06-04,1605,18,Southeast,1826,220,ATTEMPTED ROBBERY,0355 1822 0370 0400 0342,19,M,H,33.9432,-118.2435,Invest Cont,SIDEWALK
150517909,2015-11-10,2015-11-10,1330,5,Harbor,569,626,INTIMATE PARTNER - SIMPLE ASSAULT,0401 0448 2000 1814 0329,21,F,H,33.7345,-118.279,Invest Cont,PARKING LOT
160715537,2016-09-23,2016-09-23,655,7,Wilshire,759,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,79,M,B,34.0496,-118.3229,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
162113136,2016-07-12,2016-07-11,100,21,Topanga,2185,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,21,F,O,34.1685,-118.6058,Invest Cont,STREET
141310080,2014-04-20,2014-04-20,1425,13,Newton,1361,624,BATTERY - SIMPLE ASSAULT,0416,43,F,H,34.002,-118.274,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
140418211,2014-12-22,2014-12-21,2330,4,Hollenbeck,464,330,BURGLARY FROM VEHICLE,0344 1302 0352,41,M,H,34.0456,-118.2101,Invest Cont,STREET
120816064,2012-10-18,2012-10-18,100,8,West LA,827,330,BURGLARY FROM VEHICLE,0344 1300 1609,29,M,W,34.0611,-118.4684,Invest Cont,PARKING LOT
130707125,2013-03-16,2013-03-16,200,7,Wilshire,719,860,BATTERY WITH SEXUAL CONTACT,0400 0500 0515 1206 1402 1415,23,F,W,34.0776,-118.3273,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
110614041,2011-05-23,2011-05-22,2300,6,Hollywood,636,330,BURGLARY FROM VEHICLE,0344 1605,54,M,B,34.1034,-118.3333,Invest Cont,STREET
101012177,2010-06-13,2010-06-12,1800,10,West Valley,1003,330,BURGLARY FROM VEHICLE,0344,24,M,H,34.2139,-118.5361,Invest Cont,PARKING LOT
150911743,2015-06-06,2015-06-06,2100,9,Van Nuys,911,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0552 0444,NA,M,B,34.2012,-118.4684,Adult Arrest,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
141310006,2014-04-19,2014-04-19,45,13,Newton,1341,626,INTIMATE PARTNER - SIMPLE ASSAULT,0448 0429 2000 1814 1243,28,F,W,34.0158,-118.2759,Adult Arrest,STREET
160624284,2016-11-26,2016-11-26,200,6,Hollywood,632,310,BURGLARY,0314 0344,38,M,W,34.0995,-118.3751,Invest Cont,SINGLE FAMILY DWELLING
101519903,2010-09-22,2010-09-01,1030,15,N Hollywood,1565,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 2000,36,F,A,34.1462,-118.3727,Adult Other,SINGLE FAMILY DWELLING
101905971,2010-02-01,2010-01-31,2300,19,Mission,1991,330,BURGLARY FROM VEHICLE,0344 1307,28,M,W,34.2214,-118.4721,Invest Cont,STREET
110919486,2011-10-08,2011-10-08,1400,9,Van Nuys,923,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 0701,48,F,H,34.1939,-118.4487,Invest Cont,STREET
130205287,2013-01-22,2013-01-22,1850,2,Rampart,216,220,ATTEMPTED ROBBERY,0334 1402 0432 0337 0906 0910,38,M,W,34.0776,-118.2635,Adult Other,MTA BUS
101230539,2010-12-18,2010-12-17,850,12,77th Street,1209,354,THEFT OF IDENTITY,0100 0377 0929 0935 0923 1251 1822,16,F,B,33.9974,-118.2813,Invest Cont,OTHER BUSINESS
100300840,2010-04-01,2010-04-01,1940,3,Southwest,338,624,BATTERY - SIMPLE ASSAULT,0416,20,F,H,34.0263,-118.2948,Invest Cont,SINGLE FAMILY DWELLING
122022140,2012-12-30,2012-12-30,120,20,Olympic,2038,624,BATTERY - SIMPLE ASSAULT,0446 1251 0416 0319,24,M,W,34.0618,-118.2916,Invest Cont,BUS STOP OR LAYOVER
131009852,2013-05-15,2013-05-10,2300,10,West Valley,1008,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1275 1414 0311,NA,M,W,34.2209,-118.4966,Invest Cont,OTHER BUSINESS
151226576,2015-11-28,2015-11-28,215,12,77th Street,1283,440,THEFT PLAIN - PETTY ($950 & UNDER),1820 0344 0448,48,F,B,33.9519,-118.309,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
101217700,2010-06-26,2010-06-25,1900,12,77th Street,1203,900,VIOLATION OF COURT ORDER,2000,30,M,B,33.997,-118.3113,Invest Cont,SINGLE FAMILY DWELLING
160708866,2016-04-21,2016-04-15,1600,7,Wilshire,735,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,64,M,H,34.0649,-118.3451,Invest Cont,GARAGE/CARPORT
140811091,2014-07-11,2014-07-10,900,8,West LA,842,354,THEFT OF IDENTITY,0928 1822,32,M,W,34.0484,-118.4544,Invest Cont,SINGLE FAMILY DWELLING
101720908,2010-11-09,2010-11-09,1615,17,Devonshire,1764,330,BURGLARY FROM VEHICLE,0344,39,F,H,34.2564,-118.5536,Invest Cont,PARKING LOT
151200992,2015-08-06,2015-08-05,2100,12,77th Street,1243,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0309 0334 0430 1100 1309 1407 1822 0906,33,M,B,33.9824,-118.3068,Invest Cont,STREET
152005992,2015-02-09,2015-02-06,1200,20,Olympic,2027,354,THEFT OF IDENTITY,0100 0929,42,F,A,34.0654,-118.2954,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
100223025,2010-12-30,2010-12-30,300,2,Rampart,219,330,BURGLARY FROM VEHICLE,0344 0358 1307 1609,28,F,W,34.0667,-118.2546,Invest Cont,STREET
101428148,2010-12-19,2010-12-16,900,14,Pacific,1483,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,29,M,O,33.9547,-118.4413,Invest Cont,GARAGE/CARPORT
111507240,2011-03-05,2011-03-05,1430,15,N Hollywood,1505,310,BURGLARY,0314 0344 1251 1606,21,F,W,34.2031,-118.3878,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
101108568,2010-03-19,2010-03-19,1630,11,Northeast,1181,624,BATTERY - SIMPLE ASSAULT,0416 1258,11,M,B,34.0831,-118.2677,Invest Cont,STREET
122012632,2012-06-19,2012-06-19,30,20,Olympic,2049,624,BATTERY - SIMPLE ASSAULT,0342 0416 1309 0446,NA,M,H,34.0559,-118.2867,Invest Cont,SIDEWALK
170214931,2017-08-04,2017-08-04,14,2,Rampart,246,510,VEHICLE - STOLEN,NA,16,NA,NA,34.0625,-118.2714,Invest Cont,PARKING LOT
141516521,2014-09-02,2014-08-27,1100,15,N Hollywood,1565,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 0701,51,M,W,34.1472,-118.3721,Adult Arrest,SINGLE FAMILY DWELLING
131708570,2013-04-04,2013-04-04,755,17,Devonshire,1749,310,BURGLARY,0321 1607 0344,49,M,W,34.2596,-118.4734,Invest Cont,SINGLE FAMILY DWELLING
161321704,2016-10-22,2016-10-22,1920,13,Newton,1383,761,BRANDISH WEAPON,0334 1309 1310 0432,41,F,H,33.9851,-118.2783,Invest Cont,DRIVEWAY
101214406,2010-05-15,2010-03-12,1325,12,77th Street,1231,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,62,M,B,33.9871,-118.344,Invest Cont,SINGLE FAMILY DWELLING
152115514,2015-09-11,2015-09-11,1300,21,Topanga,2156,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,47,M,O,34.1905,-118.6059,Invest Cont,PARKING LOT
160625121,2016-12-14,2016-12-09,1214,6,Hollywood,636,510,VEHICLE - STOLEN,NA,15,NA,NA,34.1016,-118.331,Invest Cont,PARKING LOT
100306846,2010-02-13,2010-02-13,930,3,Southwest,351,330,BURGLARY FROM VEHICLE,0321 0344 1300 1307,54,F,B,34.0215,-118.3524,Invest Cont,"VEHICLE, PASSENGER/TRUCK"
171217407,2017-07-03,2017-07-03,2315,12,77th Street,1245,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0444 1813 0448,21,F,B,33.9815,-118.2918,Invest Cont,SIDEWALK
151012228,2015-07-18,2015-07-18,1620,10,West Valley,1083,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 1420,41,M,W,34.1619,-118.543,Invest Cont,SINGLE FAMILY DWELLING
141205112,2014-01-19,2014-01-19,1955,12,77th Street,1231,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1307,33,F,H,33.9835,-118.3511,Invest Cont,"VEHICLE, PASSENGER/TRUCK"
130104757,2013-01-14,2013-01-13,1024,1,Central,185,354,THEFT OF IDENTITY,0377,37,F,O,34.0423,-118.2561,Invest Cont,OTHER BUSINESS
141709319,2014-05-02,2014-05-02,1515,17,Devonshire,1774,624,BATTERY - SIMPLE ASSAULT,0416 1259 1310 0319,17,F,H,34.2449,-118.5233,Juv Other,STREET
152007786,2015-03-18,2015-03-01,1000,20,Olympic,2015,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,39,M,H,34.0763,-118.2944,Invest Cont,"VEHICLE, PASSENGER/TRUCK"
111209019,2011-03-14,2011-01-19,1600,12,77th Street,1235,354,THEFT OF IDENTITY,0100 0377 0930 1822,35,M,H,33.9875,-118.3002,Invest Cont,SINGLE FAMILY DWELLING
122021322,2012-12-11,2012-12-10,1030,20,Olympic,2027,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432 0917 0443 0913 0319,36,F,A,34.0618,-118.2916,Adult Other,OTHER BUSINESS
101817026,2010-08-12,2010-08-12,1100,18,Southeast,1891,220,ATTEMPTED ROBBERY,0319 0337 0345 0355 0359 0416 0906,43,M,O,33.8762,-118.286,Adult Other,SINGLE FAMILY DWELLING
140214904,2014-07-28,2014-07-22,530,2,Rampart,237,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),NA,13,NA,NA,34.0622,-118.2607,Invest Cont,STREET
141018100,2014-12-01,2014-10-24,1200,10,West Valley,1067,662,"BUNCO, GRAND THEFT",0800 1803 0601,38,F,W,34.162,-118.5166,Adult Other,OTHER BUSINESS
140904864,2014-01-17,2014-01-17,1730,9,Van Nuys,911,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,33,F,H,34.1939,-118.4729,Invest Cont,STREET
101313557,2010-05-25,2010-05-25,2140,13,Newton,1361,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0432 0906,41,F,H,34.001,-118.2783,Adult Other,LAUNDROMAT
150507446,2015-03-19,2015-03-19,30,5,Harbor,585,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218,52,M,W,33.7243,-118.2963,Invest Cont,BAR/COCKTAIL/NIGHTCLUB
131317121,2013-08-20,2013-06-12,1400,13,Newton,1344,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,NA,M,H,34.0067,-118.2617,Invest Cont,ELEMENTARY SCHOOL
100906901,2010-02-22,2010-02-22,1615,9,Van Nuys,911,330,BURGLARY FROM VEHICLE,0344 1300 1307,29,F,H,34.2012,-118.4662,Invest Cont,PARKING LOT
112005829,2011-02-03,2011-02-02,2114,20,Olympic,2074,956,"LETTERS, LEWD",1501,53,F,A,34.0463,-118.3041,Invest Cont,SINGLE FAMILY DWELLING
130626276,2013-12-07,2013-12-05,2200,6,Hollywood,645,480,BIKE - STOLEN,0344,23,F,W,34.1004,-118.3414,Invest Cont,PARKING LOT
170812484,2017-07-06,2017-07-06,2200,8,West LA,897,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,45,F,W,34.0331,-118.3972,Invest Cont,"VEHICLE, PASSENGER/TRUCK"
141005762,2014-02-13,2013-01-01,1,10,West Valley,1044,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,1257 0554 0551 0510 1402,NA,F,H,34.1749,-118.5344,Adult Other,SINGLE FAMILY DWELLING
111924898,2011-12-15,2011-12-15,1635,19,Mission,1936,901,VIOLATION OF RESTRAINING ORDER,NA,35,F,H,34.2799,-118.4546,Invest Cont,PARKING LOT
131111577,2013-05-26,2013-05-26,1120,11,Northeast,1137,624,BATTERY - SIMPLE ASSAULT,0416 0419 0444,39,F,H,34.1106,-118.199,Invest Cont,SINGLE FAMILY DWELLING
151909640,2015-04-17,2015-04-15,1830,19,Mission,1966,330,BURGLARY FROM VEHICLE,0344 1302,26,F,H,34.2412,-118.4502,Invest Cont,PARKING LOT
131226694,2013-12-13,2013-12-12,1700,12,77th Street,1259,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1258 1251 1822 0430,16,M,H,33.973,-118.2695,Invest Cont,STREET
131218712,2013-08-08,2013-08-08,1140,12,77th Street,1232,624,BATTERY - SIMPLE ASSAULT,1206 0444 0601 0913,62,F,W,33.989,-118.3308,Invest Cont,MOTEL
111814521,2011-07-03,2011-07-02,1130,18,Southeast,1838,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,49,F,H,33.9367,-118.2359,Invest Cont,"VEHICLE, PASSENGER/TRUCK"
111014575,2011-08-18,2011-08-17,1800,10,West Valley,1029,330,BURGLARY FROM VEHICLE,0344 1609,40,F,H,34.1976,-118.4837,Invest Cont,OTHER BUSINESS
101722181,2010-12-06,2010-12-03,1900,17,Devonshire,1794,310,BURGLARY,0344 1602 1607,46,M,O,34.2265,-118.5361,Invest Cont,OFFICE BUILDING/OFFICE
161323852,2016-12-01,2016-12-01,1520,13,Newton,1352,624,BATTERY - SIMPLE ASSAULT,1251 0416 0913,18,M,H,34.002,-118.274,Invest Cont,HIGH SCHOOL
161322591,2016-11-03,2016-10-28,1600,13,Newton,1353,850,INDECENT EXPOSURE,0500,11,F,B,34.0039,-118.2609,Adult Other,"BUS, SCHOOL, CHURCH"
161309468,2016-04-05,2016-04-05,1820,13,Newton,1344,624,BATTERY - SIMPLE ASSAULT,1259 0446 0416 0913 0602 0360,17,F,H,34.0092,-118.2652,Invest Cont,SINGLE FAMILY DWELLING
110911164,2011-05-12,2011-05-12,140,9,Van Nuys,914,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0311 0329,44,M,B,34.1994,-118.4501,Invest Cont,OTHER BUSINESS
100120109,2010-11-13,2010-11-11,1700,1,Central,164,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,25,M,B,34.0439,-118.2514,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
170913683,2017-07-09,2017-07-07,1800,9,Van Nuys,904,330,BURGLARY FROM VEHICLE,0344,43,F,H,34.2084,-118.4599,Invest Cont,PARKING LOT
171506644,2017-02-14,2016-12-30,1200,15,N Hollywood,1503,354,THEFT OF IDENTITY,1822 0928,48,M,W,34.2056,-118.401,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
141801507,2014-11-10,2014-11-08,1300,18,Southeast,1881,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",1822 0400 0322 1402,39,M,O,33.8926,-118.2861,Invest Cont,POLICE FACILITY
160918009,2016-10-01,2016-10-01,700,9,Van Nuys,943,624,BATTERY - SIMPLE ASSAULT,0416,20,M,H,34.1767,-118.4465,Adult Other,HOSPITAL
171219779,2017-08-05,2017-08-05,1230,12,77th Street,1203,900,VIOLATION OF COURT ORDER,0319 0359 0603,46,M,H,34.0001,-118.3089,Invest Cont,SIDEWALK
132111786,2013-06-23,2013-06-07,1200,21,Topanga,2113,354,THEFT OF IDENTITY,0377 0929 1822,41,F,W,34.2186,-118.6151,Invest Cont,SINGLE FAMILY DWELLING
111104888,2011-01-18,2011-01-16,950,11,Northeast,1125,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0419 0429 2000,22,F,H,34.1203,-118.2143,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
130911476,2013-06-01,2013-06-01,430,9,Van Nuys,911,626,INTIMATE PARTNER - SIMPLE ASSAULT,1243 0400 2000,25,F,W,34.1976,-118.4662,Adult Arrest,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
101306902,2010-02-14,2010-02-14,10,13,Newton,1322,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0334 0430 0432 1100 1402,42,M,H,34.0268,-118.2618,Invest Cont,SIDEWALK
121713449,2012-06-27,2012-06-26,1930,17,Devonshire,1791,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344,53,F,W,34.227,-118.5907,Invest Cont,GARAGE/CARPORT
101117893,2010-08-16,2010-08-16,1255,11,Northeast,1113,850,INDECENT EXPOSURE,0529,39,F,H,34.1391,-118.214,Invest Cont,BEAUTY/BARBER SHOP
122111653,2012-06-11,2012-06-10,2000,21,Topanga,2149,510,VEHICLE - STOLEN,NA,11,NA,NA,34.1959,-118.5622,Invest Cont,STREET
130626783,2013-12-16,2013-12-16,1500,6,Hollywood,665,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,28,F,B,34.0889,-118.3363,Invest Cont,ENTERTAINMENT/COMEDY CLUB (OTHER)
120613013,2012-05-02,2012-04-29,2330,6,Hollywood,637,330,BURGLARY FROM VEHICLE,0352 0344 1609,28,F,O,34.1037,-118.3252,Invest Cont,STREET
162004692,2016-01-15,2016-01-14,2200,20,Olympic,2045,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0354 1606,52,M,H,34.0577,-118.2971,Invest Cont,PARKING LOT
160605806,2016-01-31,2016-01-31,700,6,Hollywood,637,624,BATTERY - SIMPLE ASSAULT,0416,56,M,W,34.103,-118.3225,Invest Cont,MINI-MART
161111788,2016-06-11,2016-06-11,1540,11,Northeast,1169,940,EXTORTION,0500 0514 0520 0528,21,M,H,34.1038,-118.2013,Invest Cont,WEBSITE
120309779,2012-04-02,2012-02-23,1,3,Southwest,362,624,BATTERY - SIMPLE ASSAULT,0400 1300 0416,31,F,B,34.0176,-118.3458,Invest Cont,STREET
131429363,2013-12-17,2013-12-17,800,14,Pacific,1453,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,32,M,W,33.9873,-118.4403,Invest Cont,PARKING LOT
121406585,2012-02-05,2012-02-05,2045,14,Pacific,1431,624,BATTERY - SIMPLE ASSAULT,0400 1243 0344 1601 2000,NA,F,H,33.9877,-118.4738,Invest Cont,STREET
121616182,2012-10-01,2012-09-29,1600,16,Foothill,1687,310,BURGLARY,0344 1607 0321,52,M,O,34.2192,-118.3692,Invest Cont,OTHER BUSINESS
111605208,2011-01-27,2011-01-11,1600,16,Foothill,1672,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,75,M,W,34.2337,-118.3878,Invest Cont,STREET
170815167,2017-09-05,2017-07-20,1100,8,West LA,887,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1608,37,F,W,34.0442,-118.3948,Invest Cont,SINGLE FAMILY DWELLING
141511034,2014-05-17,2014-05-17,1255,15,N Hollywood,1524,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,21,M,H,34.1867,-118.3965,Invest Cont,DEPARTMENT STORE
120817558,2012-11-23,2012-11-23,2030,8,West LA,838,624,BATTERY - SIMPLE ASSAULT,0447 1300 1316,40,M,W,34.062,-118.448,Invest Cont,STREET
161011013,2016-06-12,2016-06-12,1525,10,West Valley,1023,624,BATTERY - SIMPLE ASSAULT,0342 0603 1414 0416,33,M,H,34.1902,-118.5448,Adult Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
130209315,2013-03-18,2013-03-15,1800,2,Rampart,217,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,0522 1257 0503 0558,NA,F,H,34.071,-118.2623,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
151507327,2015-02-28,2015-02-28,430,15,N Hollywood,1599,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,0321,22,M,O,34.1312,-118.3588,Invest Cont,PARKING LOT
120311025,2012-03-27,2012-03-27,1700,3,Southwest,341,330,BURGLARY FROM VEHICLE,1300 1609 0344,47,F,H,34.0211,-118.3791,Invest Cont,STREET
161405411,2016-01-21,2016-01-21,1010,14,Pacific,1463,330,BURGLARY FROM VEHICLE,0344 1300,49,M,W,33.9782,-118.422,Invest Cont,PARKING LOT
102008665,2010-03-10,2010-03-10,1530,20,Olympic,2021,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1606,33,M,W,34.0672,-118.3141,Invest Cont,STREET
141323240,2014-12-11,2014-12-10,1530,13,Newton,1347,210,ROBBERY,1305 0352 0444 0344 0355 1009 0432 0443 0448,35,F,H,34.0089,-118.2494,Invest Cont,STREET
172115394,2017-08-17,2017-07-22,5,21,Topanga,2139,354,THEFT OF IDENTITY,0377 1822 0929,19,F,B,34.2059,-118.571,Invest Cont,CONDOMINIUM/TOWNHOUSE
100515200,2010-08-04,2010-04-08,5,5,Harbor,511,354,THEFT OF IDENTITY,0930,30,F,B,33.7905,-118.3011,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
111318011,2011-08-01,2011-08-01,900,13,Newton,1333,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0603,52,F,A,34.0161,-118.2599,Invest Cont,OTHER BUSINESS
102109359,2010-04-08,2010-03-30,1200,21,Topanga,2129,649,DOCUMENT FORGERY / STOLEN FELONY,0377 1820,69,F,W,34.2108,-118.5627,Invest Cont,SINGLE FAMILY DWELLING
140414750,2014-09-28,2014-09-28,800,4,Hollenbeck,402,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 0319 0448 0400 0444 0416 0408,19,F,H,34.0883,-118.2056,Adult Arrest,SINGLE FAMILY DWELLING
171014508,2017-08-15,2017-08-15,600,10,West Valley,1061,434,FALSE IMPRISONMENT,1101 2020,21,F,W,34.1658,-118.5599,Invest Cont,SINGLE FAMILY DWELLING
121018369,2012-11-02,2012-09-12,1535,10,West Valley,1033,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,38,F,A,34.1866,-118.5386,Invest Cont,SINGLE FAMILY DWELLING
141214082,2014-06-09,2014-06-09,1255,12,77th Street,1235,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1309 0342 1822 0326 1313 0450 0430 1407 0906,19,M,B,33.9876,-118.3024,Invest Cont,STREET
120304927,2012-01-15,2012-01-14,2330,3,Southwest,308,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,18,M,H,34.0109,-118.2915,Invest Cont,OTHER PREMISE
120317497,2012-07-25,2012-07-01,800,3,Southwest,354,440,THEFT PLAIN - PETTY ($950 & UNDER),1247 0344,42,M,H,34.0208,-118.326,Invest Cont,OTHER BUSINESS
141921322,2014-10-27,2014-09-29,2100,19,Mission,1913,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2000 0432 1813,41,F,H,34.3095,-118.4672,Adult Other,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME
151000661,2015-04-02,2015-04-02,2130,10,West Valley,1003,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1402 0342 0104,NA,M,W,34.2148,-118.5404,Invest Cont,GAS STATION
120418397,2012-12-20,2012-12-20,1930,4,Hollenbeck,456,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0561 1238 1243,44,F,H,34.0512,-118.2025,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
151706568,2015-02-24,2015-02-23,1900,17,Devonshire,1792,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,42,F,F,34.2222,-118.5667,Invest Cont,STREET
120509413,2012-04-13,2012-04-11,1300,5,Harbor,519,624,BATTERY - SIMPLE ASSAULT,1300 0416 0400 1309,43,F,W,33.7943,-118.2483,Invest Cont,YARD (RESIDENTIAL/BUSINESS)
140310938,2014-05-01,2014-04-30,2130,3,Southwest,391,330,BURGLARY FROM VEHICLE,0344,70,M,B,34.0067,-118.3511,Invest Cont,DRIVEWAY
110818092,2011-11-14,2011-11-13,1200,8,West LA,851,354,THEFT OF IDENTITY,0928,40,F,H,34.0402,-118.4629,Invest Cont,SINGLE FAMILY DWELLING
170320449,2017-09-02,2017-09-02,1415,3,Southwest,378,437,RESISTING ARREST,1212 1501 2004,NA,X,X,34.0182,-118.2824,Adult Arrest,STREET
111514103,2011-07-13,2011-07-12,2100,15,N Hollywood,1596,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,30,F,W,34.1371,-118.3668,Invest Cont,DRIVEWAY
120622247,2012-09-03,2012-06-28,1,6,Hollywood,665,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,NA,F,X,34.0907,-118.3386,Invest Cont,PUBLIC STORAGE
170612835,2017-05-30,2017-04-17,2000,6,Hollywood,677,806,PANDERING,1501 1402,19,F,W,34.0854,-118.3157,Invest Cont,HOTEL
160304614,2016-01-12,2015-12-17,1700,3,Southwest,338,480,BIKE - STOLEN,0344 1251,19,F,W,34.0274,-118.284,Invest Cont,YARD (RESIDENTIAL/BUSINESS)
161216608,2016-06-18,2016-06-18,1820,12,77th Street,1268,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0342 0326 0302 0371 0319 0309 1310 0906,24,F,B,33.9633,-118.2739,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
131100506,2013-01-02,2013-01-01,100,11,Northeast,1139,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1407 0416 0400 0906 1100,26,M,H,34.113,-118.1825,Invest Cont,STREET
171815428,2017-07-21,2017-07-21,1120,18,Southeast,1803,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0342 0325 0344,16,X,X,33.9601,-118.2717,Invest Cont,GAS STATION
160105807,2016-01-22,2016-01-22,2100,1,Central,166,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218,28,F,B,34.0421,-118.2469,Invest Cont,NA
151207277,2015-02-18,2015-02-18,45,12,77th Street,1251,210,ROBBERY,1309 1822 0344 0302 0370 0216 0342 1252,33,M,H,33.9746,-118.3286,Adult Arrest,SIDEWALK
